assigned,longitude,latitude
sinuatus,-109.3988,31.4775
sinuatus,-109.173,31.957
sinuatus,-103.298722,21.835556
sinuatus,-106.064672,31.833378
sinuatus,-98.928275,29.72178
sinuatus,-99.254927,26.906939
sinuatus,-103.679098,30.507234
sinuatus,-99.09528,26.63778
sinuatus,-100.093192,31.520301
sinuatus,-103.950611,30.394112
sinuatus,-100.646795,31.286915
sinuatus,-100.06813,29.455546
sinuatus,-105.610468,26.823631
sinuatus,-99.209139,26.71865
sinuatus,-97.810346,26.820527
sinuatus,-104.59004,30.220419
sinuatus,-98.62162,27.879769
sinuatus,-104.2283,32.4206
sinuatus,-103.217342,22.195512
sinuatus,-97.777458,26.549166
sinuatus,-102.650278,29.690411
sinuatus,-99.567001,24.87373
sinuatus,-102.866667,26.216667
sinuatus,-100.110514,30.651103
sinuatus,-104.730389,31.96431
sinuatus,-102.091436,30.141874
sinuatus,-102.561484,30.142113
sinuatus,-104.01861,29.770648
sinuatus,-99.222543,28.040767
sinuatus,-103.716483,30.742127
sinuatus,-97.4972,25.9014
sinuatus,-99.333548,27.660043
sinuatus,-98.621953,29.085284
sinuatus,-98.323512,28.970845
sinuatus,-103.137503,29.17607
sinuatus,-103.087666,29.093263
sinuatus,-98.797,29.236
sinuatus,-110.926445,32.221775
sinuatus,-97.85142,28.814754
sinuatus,-97.635155,26.136022
sinuatus,-97.45,26.15
sinuatus,-104.21978,21.87146
sinuatus,-102,30
sinuatus,-97.58193,26.23535
sinuatus,-97.84944,26.07869
sinuatus,-101.091971,29.91684
sinuatus,-97.291377,32.771525
sinuatus,-107.089577,33.0832
sinuatus,-99.825,28.691
sinuatus,-97.15018,28.31139
sinuatus,-103.25176,29.81195
sinuatus,-97.53333,28.17854
sinuatus,-101.116669,27.85
sinuatus,-100.11338,25.49554
sinuatus,-97.68555,28.25417
sinuatus,-111,31.5
sinuatus,-99.2,23.98333
sinuatus,23.753333,23.753333
sinuatus,-98.117,29.706
sinuatus,-98.07233,28.421235
sinuatus,-110.116667,28.516667
sinuatus,-105.776667,22.831667
sinuatus,-105.633333,26.5
sinuatus,-105.383333,25.916667
sinuatus,-94.423611,30.908333
sinuatus,-96.111336,30.39543
sinuatus,-97.151,33.639
sinuatus,-116.795,32.363333
sinuatus,-105.173333,27.69
sinuatus,-106.2667,28.4667
sinuatus,-99.422815,27.792511
sinuatus,-111.533333,31.466667
sinuatus,-98.82,26.379
sinuatus,-98.518128,27.662531
sinuatus,-98.63522,24.93258
sinuatus,-97.9361689391,30.482986699
sinuatus,-101.6648797192,21.2382800534
sinuatus,-111.721,33.9871
sinuatus,-111.482,33.459
sinuatus,-97.9903477514,30.6308688547
sinuatus,-97.1688230932,29.7635061119
sinuatus,-97.3516558,29.1235194
sinuatus,-96.8350999,29.3359054
sinuatus,-97.87216,28.9089085
sinuatus,-97.7079000611,26.2001543492
sinuatus,-97.6521467142,29.6459218441
sinuatus,-99.3259277468,31.7417445192
sinuatus,-104.7533978997,31.0425897
sinuatus,-106.2651395467,31.2024051836
sinuatus,-106.2665830509,31.3856643359
sinuatus,-101.0440199975,26.831166787
sinuatus,-109.2661724,31.3231262
sinuatus,-99.2785583,30.6556091
sinuatus,-104.4635703269,24.7750788676
sinuatus,-111.422282,33.340932
sinuatus,-110.1872865049,23.8728891026
sinuatus,-110.8143465582,32.3896690213
sinuatus,-110.5918195099,28.1986363116
sinuatus,-103.7748829951,25.231554335
sinuatus,-106.6552022962,35.0592424067
sinuatus,-104.856895,39.75828
sinuatus,-110.1007915288,24.0056107385
sinuatus,-103.7123108,30.9583956
sinuatus,-99.9018131196,31.8371285972
